id,Summary,Component,Status,Owner,Type,Priority,Milestone,Version,Severity,Resolution,Created,Modified,Actual Points,Parent ID,Points,Reviewer,Sponsor,Reporter,Keywords
17689,Use extra-info fields for download times,Metrics/Consensus Health,assigned,tom,defect,Medium,,,Normal,,25 nov. 2015 17:51:59,2 abr. 2018 08:48:49,,,,,,tom,
18163,Consensus health doesn't track direct connection timings,Metrics/Consensus Health,new,tom,enhancement,Medium,,,Normal,,27 ene. 2016 17:04:31,2 abr. 2018 08:48:49,,,,,,micah,"consensus, faravahar"
18167,"Don't trust ""bridge-ips"" blindly for user number estimates",Metrics/Statistics,assigned,metrics-team,defect,Medium,,,Major,,27 ene. 2016 19:38:36,28 sep. 2017 13:57:28,,,,,,karsten,"meek, metrics-2018"
18203,"Base direct user estimates on responses to directory requests, rather than responses",Metrics/Statistics,assigned,metrics-team,enhancement,Medium,,,Minor,,1 feb. 2016 16:35:44,28 sep. 2017 13:57:28,,,,,,karsten,metrics-2018
18732,Document release process for Java projects,Metrics,assigned,metrics-team,task,Medium,,,Normal,,6 abr. 2016 08:12:21,25 ene. 2018 15:51:54,,,,,,iwakeh,metrics-2018
18798,Analyze descriptor completeness,Metrics/CollecTor,assigned,metrics-team,enhancement,Medium,,,Normal,,12 abr. 2016 10:57:05,25 ene. 2018 15:51:54,,,,,,iwakeh,"ctip, metrics-2018"
19169,"Verify, correct, and extend runtime statistics",Metrics/CollecTor,assigned,metrics-team,enhancement,Medium,,,Normal,,25 may. 2016 11:47:35,25 ene. 2018 15:51:54,,,,,,iwakeh,ctip
19183,Add sybilhunter's visualisations to Metrics website,Metrics/Website,assigned,metrics-team,enhancement,Medium,,,Normal,,26 may. 2016 21:05:57,21 ago. 2017 09:50:30,,,,,,phw,"sybilhunter, visualization, churn, uptime"
19249,Onionoo server runs out of memory when importing a full month of data,Metrics/Onionoo,assigned,metrics-team,defect,Medium,,,Normal,,2 jun. 2016 16:35:40,28 sep. 2017 13:57:28,,,,,,karsten,metrics-2018
19282,Avoid truncating descriptors while storing them,Metrics/CollecTor,assigned,metrics-team,defect,Medium,,,Normal,,6 jun. 2016 13:36:49,25 ene. 2018 15:51:54,,,,,,karsten,metrics-2018
19332,Add a BridgeDB module,Metrics/CollecTor,new,metrics-team,enhancement,Medium,,,Normal,,7 jun. 2016 17:49:52,11 feb. 2019 12:20:33,,,8,,Sponsor19,mrphs,metrics-roadmap-2019-q2
19650,Keep non-printable characters out of details documents,Metrics/Onionoo,assigned,metrics-team,enhancement,Medium,,,Normal,,8 jul. 2016 08:50:01,30 ago. 2018 02:05:33,,#24033,,,,cypherpunks,metrics-2018
20053,Plan refactoring of metrics-web modules,Metrics/Statistics,assigned,metrics-team,enhancement,Medium,Metrics 1.0.0,,Normal,,1 sep. 2016 20:49:03,22 dic. 2017 10:08:54,,,,,,iwakeh,metrics-2018
20098,Make reference checker more accurate,Metrics/CollecTor,assigned,metrics-team,enhancement,Medium,,,Normal,,7 sep. 2016 12:28:17,28 sep. 2017 13:57:28,,,,,,karsten,metrics-2018
20228,Append all votes with same valid-after time to a single file in `recent/`,Metrics/CollecTor,assigned,metrics-team,enhancement,Medium,,,Normal,,23 sep. 2016 14:49:57,16 feb. 2018 07:57:15,,#20519,,,,karsten,
20345,Add support for synchronizing microdescriptors from another instance,Metrics/CollecTor,assigned,metrics-team,enhancement,Medium,,,Normal,,12 oct. 2016 18:18:54,28 sep. 2017 13:57:28,,#20519,,,,iwakeh,metrics-2018
20350,Replace create-tarball.sh shell script with Java module,Metrics/CollecTor,assigned,metrics-team,enhancement,Medium,CollecTor 2.0.0,,Normal,,13 oct. 2016 07:24:32,24 may. 2018 19:46:10,,#20518,,,,iwakeh,metrics-2018
20351,Turn the updateindex module into a function that runs after each module run,Metrics/CollecTor,assigned,metrics-team,enhancement,Medium,CollecTor 1.7.0,,Normal,,13 oct. 2016 07:27:11,26 may. 2018 09:35:59,,#20518,,,,iwakeh,metrics-2018
20395,Add capability to handle large descriptor files,Metrics/Library,assigned,metrics-team,defect,Medium,,,Normal,,18 oct. 2016 20:07:15,18 may. 2018 10:36:05,,,,,,iwakeh,
20403,Make it easier for relay operators to find their observed bandwidth,Metrics/Consensus Health,new,tom,enhancement,Medium,,,Normal,,19 oct. 2016 05:44:08,2 abr. 2018 08:48:49,,,,,,teor,
20421,Investigate invalid descriptors in out/ and recent/ subdirectories,Metrics/CollecTor,assigned,metrics-team,defect,Medium,,,Normal,,21 oct. 2016 09:13:52,22 feb. 2018 14:47:25,,#20548,,,,karsten,metrics-2018
20430,Define common log levels,Metrics/Library,assigned,metrics-team,enhancement,Medium,,,Normal,,21 oct. 2016 17:45:25,22 dic. 2017 10:08:54,,#20540,,,,iwakeh,metrics-2018
20489,Add various tests for recently fixed issues,Metrics/CollecTor,assigned,metrics-team,enhancement,Medium,,,Normal,,28 oct. 2016 07:27:11,25 ene. 2018 15:51:54,,,,,,iwakeh,metrics-help
