id,Summary,Component,Status,Owner,Type,Priority,Milestone,Severity,Resolution,Actual Points,Points,Sponsor,Keywords
27917,Standardize argument_names,Core Tor/sbws,closed,,defect,Medium,sbws: 1.0.x-final,Normal,fixed,,,,
27918,Add types to some new arguments,Core Tor/sbws,closed,,defect,Medium,sbws: 1.0.x-final,Normal,fixed,,,,
28099,Make a policy for adding new sbws relay keys,Core Tor/sbws,closed,,task,Medium,sbws: unspecified,Normal,fixed,,0.2,,"doc, sbws-1.0-nice-moved-20181128, no-changes-version, docs, bandwidth-file-spec, tor-spec"
28105,Use secs-away when provided instead of data_period,Core Tor/sbws,closed,juga,defect,Medium,sbws: 1.0.x-final,Normal,fixed,,,,
28223,Unparseable microdescriptor on public relay,Core Tor/Tor,closed,nickm,defect,Medium,Tor: 0.4.0.x-final,Normal,fixed,.2,.2,,"040-roadmap-proposed, regression?, 035-can, postfreeze-ok, 040-deferred-20190220, asn-merge"
28267,Update spec version in the bandwidth file header,Core Tor/sbws,closed,juga,defect,Medium,sbws: 1.0.x-final,Normal,implemented,,,,
28268,Change default directories when sbws is run from a system manager,Core Tor/sbws,closed,juga,defect,Medium,sbws: 1.0.x-final,Normal,fixed,,,,
28269,Repeated HSFETCH queries fail with QUERY_NO_HSDIR,Core Tor/Tor,closed,neel,defect,Medium,Tor: 0.4.1.x-final,Normal,implemented,,,,"tor-hs, tor-control tor-spec"
28401,stem.client does not fragment across relay cells when making dir requests over orports,Core Tor/Stem,closed,atagar,defect,Medium,,Normal,worksforme,,,,
28495,Please provide a parser for detached signatures,Core Tor/Stem,closed,atagar,enhancement,Medium,,Normal,fixed,,,,
28497,SBWS publishing badly broken vote documents,Core Tor/sbws,closed,,defect,Medium,sbws: 1.0.x-final,Major,fixed,,,,
